"Camera","UTME","UTMN"
"A01",498323,2895556
"A02",493200,2895574
"A03",495390,2895556
"A04",493524,2895609
"A05",497250,2895807
"A06",492100,2895793
"A07",494113,2895941
"A08",497265,2896080
"A09",495744,2895969
"A10",496501,2895968
"A11",492037,2896025
"A12",494920,2896141
"A13",495714,2896184
"A14",494690,2896308
"A15",492694,2896382
"A16",498211,2896570
"A17",494014,2896671
"A18",496801,2896689
"A19",493833,2896740
"A20",497636,2896667
"A21",498222,2896820
"A22",496922,2896885
"A23",493325,2896956
"A24",492296,2897033
"A25",496169,2897430
"A26",494911,2897218
"A27",497933,2897262
"A28",492237,2897213
"A29",497721,2897376
"A30",494134,2897481
"A31",495653,2897541
"A32",496530,2897633
"A33",494249,2897680
"A34",497643,2897919
"A35",493771,2897941
"A36",495215,2897939
"A37",491979,2898031
"A38",492147,2898044
"A39",493059,2898150
"A40",495350,2898099
"A41",495992,2898186
"A42",498355,2898215
"A43",493964,2898278
"A44",497040,2898336
"A45",498469,2898419
"A46",493798,2898458
"A47",496950,2898497
"A48",494794,2898463
"A49",495602,2898818
"A50",497973,2898966
"A51",494432,2898993
"A52",495819,2898987
"A53",492780,2899030
"A54",491922,2899091
"A55",493607,2899117
"A56",494609,2899131
"A57",497937,2899226
"A58",497048,2899124
"A59",493423,2899316
"A60",491941,2899313
"B01",477140,2895549
"B02",475649,2895948
"B03",474814,2895834
"B04",477501,2895946
"B05",476201,2895910
"B06",474872,2896080
"B07",477304,2896090
"B08",478208,2896371
"B09",475414,2896511
"B10",478444,2896517
"B11",476402,2896488
"B12",477552,2896611
"B13",475179,2896839
"B14",475309,2897126
"B15",474685,2897313
"B16",476313,2897301
"B17",478306,2897251
"B18",474773,2897528
"B19",477200,2897257
"B20",477087,2897428
"B21",476268,2897767
"B22",477991,2897951
"B23",478211,2897974
"B24",475690,2898420
"B25",475483,2898324
"B26",476157,2898569
"B27",476840,2898582
"B28",477402,2898584
"B29",474879,2898777
"B30",476805,2898817
"B31",474875,2899026
"B32",477718,2899056
"B33",475667,2899470
"B34",478258,2899383
"B35",478030,2899440
"B36",475443,2899524
"B37",476897,2899593
"B38",477030,2899800
"B39",475629,2900076
"B40",478460,2899967
"B41",474843,2900135
"B42",477723,2900163
"B43",477237,2900386
"B44",475782,2900421
"B45",477886,2900303
"B46",477313,2900567
"B47",476356,2900578
"B48",475663,2900629
"B49",476160,2900727
"B50",476781,2900978
"B51",476451,2901381
"B52",474743,2901523
"B53",476718,2901514
"B54",477241,2901593
"B55",475248,2901709
"B56",477124,2901831
"B57",476029,2901889
"B58",475098,2901974
"B59",477995,2902001
"B60",477774,2902116
"FP01",453322,2892868
"FP02",451410,2892907
"FP03",455148,2892908
"FP04",455814,2893034
"FP05",453160,2893144
"FP06",456009,2893188
"FP07",452051,2893380
"FP08",452253,2893504
"FP09",453853,2893591
"FP10",454523,2893465
"FP11",454776,2893558
"FP12",455808,2893500
"FP13",456809,2894560
"FP14",451253,2893887
"FP15",452315,2895040
"FP16",455822,2893882
"FP17",453655,2894042
"FP18",453403,2894061
"FP19",452661,2894166
"FP20",452680,2894352
"FP21",451156,2894436
"FP22",455828,2894393
"FP23",456078,2894340
"FP24",454453,2894477
"FP25",450998,2894650
"FP26",453503,2894680
"FP27",455327,2894606
"FP28",456680,2894743
"FP29",451795,2894835
"FP30",451655,2895027
"FP31",457676,2894937
"FP32",455833,2895077
"FP33",454639,2895165
"FP34",456848,2895229
"FP35",457671,2895198
"FP36",452646,2895357
"FP37",453820,2895351
"FP38",454613,2895439
"FP39",453630,2895477
"FP40",452556,2895589
"FP41",455854,2895627
"FP42",452776,2895876
"FP43",451779,2896001
"FP44",455858,2895890
"FP45",451238,2896045
"FP46",453902,2896013
"FP47",452974,2895983
"FP48",454778,2896042
"FP49",451562,2896158
"FP50",457127,2895970
"FP51",456784,2896065
"FP52",454545,2896192
"FP53",455412,2896285
"FP54",452309,2896122
"FP55",455688,2896259
"FP56",451796,2896691
"FP57",454925,2896702
"FP58",455183,2895610
"FP59",456769,2896752
"FP60",454462,2896917
